year,capture.loc,julian.day,mdy,abundance,Stock,value
2021,5,229,8/17,652,Transitory,114.880369
2021,5,238,8/26,355,Shaktoolik,26.7981005
2021,5,238,8/26,355,Unalakleet,261.0022869
2021,5,238,8/26,355,Transitory,67.19961262
2021,5,244,9/1,127,Shaktoolik,4.979337594
2021,5,244,9/1,127,Unalakleet,98.05306407
2021,5,244,9/1,127,Transitory,23.96759834
2021,6,198,7/17,9,Shaktoolik,4.403475896
2021,6,198,7/17,9,Unalakleet,4.165973588
2021,6,198,7/17,9,Transitory,0.430550516
2021,6,200,7/19,11,Shaktoolik,4.736657495
2021,6,200,7/19,11,Unalakleet,5.683821282
2021,6,200,7/19,11,Transitory,0.579521223
2021,6,204,7/23,21,Shaktoolik,6.726149994
2021,6,204,7/23,21,Unalakleet,12.98518354
2021,6,204,7/23,21,Transitory,1.288666466
2021,6,207,7/26,12,Shaktoolik,2.980452754
2021,6,207,7/26,12,Unalakleet,8.22008387
2021,6,207,7/26,12,Transitory,0.799463376
2021,6,211,7/30,55,Shaktoolik,9.388470226
2021,6,211,7/30,55,Unalakleet,41.666333
2021,6,211,7/30,55,Transitory,3.945196779
2021,6,213,8/1,23,Shaktoolik,3.214078334
2021,6,213,8/1,23,Unalakleet,18.09527549
2021,6,213,8/1,23,Transitory,1.690646178
2021,6,214,8/2,166,Shaktoolik,20.93383762
2021,6,214,8/2,166,Unalakleet,132.7459966
2021,6,214,8/2,166,Transitory,12.3201658
2021,6,215,8/3,304,Shaktoolik,34.54229368
2021,6,215,8/3,304,Unalakleet,246.7121431
2021,6,215,8/3,304,Transitory,22.7455632
2021,6,220,8/8,457,Shaktoolik,30.32663061
2021,6,220,8/8,457,Unalakleet,391.8183252
2021,6,220,8/8,457,Transitory,34.85504416
2021,6,229,8/17,407,Shaktoolik,9.743346891
2021,6,229,8/17,407,Unalakleet,366.6047277
2021,6,229,8/17,407,Transitory,30.65192541
2021,6,238,8/26,669,Shaktoolik,5.550561261
2021,6,238,8/26,669,Unalakleet,614.557482
2021,6,238,8/26,669,Transitory,48.89195673
2021,6,244,9/1,298,Shaktoolik,1.228713894
2021,6,244,9/1,298,Unalakleet,275.855134
2021,6,244,9/1,298,Transitory,20.9161521
